model_name,train_r2,val_r2,test_r2,train_mae,val_mae,test_mae,train_rmse,val_rmse,test_rmse,val_mape,test_mape,val_bias,test_bias
gradient_boosting_log,0.990194322391024,0.7123307717535684,0.9193785648522173,3641.664740448802,7846.4037253814395,8708.794181928504,4833.884841784223,10437.568727926879,10983.994081223267,20.91748009737088,11.098910479893528,4190.390968252335,-1139.5206768454475
random_forest_log,0.9803584358121002,0.48403189319270723,0.7084919478360713,4855.748575706547,10641.56164740287,17679.450428084238,6841.408612418551,13978.612722466785,20886.241994987045,28.54723897568128,23.459490380848415,9766.93918729298,17008.596363566558
ridge_alpha_10_log,0.727564939882205,-1.8107662793012684,0.31852407169038466,19809.824571464942,30523.057155355185,28285.54674884217,25479.388053139006,32626.088613350563,31934.512279015085,63.388197413734574,31.28977498422987,30523.057155355185,28021.791590969413
ridge_alpha_1_log,0.7212686340664436,-2.136604281409915,-0.026873618125613286,19715.998757276186,32262.1695376327,34736.99366998955,25772.13610790295,34465.335426834055,39200.673261752905,65.7255253396137,36.8810915062757,32262.1695376327,34566.36507609346
linear_regression_log,0.7198233347957953,-2.229447095953151,-0.11494845465325443,19742.9458689118,32736.028178644912,36144.797453057574,25838.867543561428,34971.698960236354,40847.212317677724,66.47960619380102,38.001146354996465,32736.028178644912,35957.6806831197
